object_id,redshift,distance_modulus,distance_modulus_err
2008O,0.0394,36.2254,0.311188
2009bv,0.03748,36.2564,0.149974
2008051,0.03835,36.0125,0.17035
ASASSN-15np,0.03832,36.026,0.219507
2010dw,0.03871,36.0125,0.204712
ASASSN-15pn,0.038,36.1962,0.220822
1999aw,0.03928,36.2125,0.18352
2008dr,0.03996,36.284,0.147901
PS15cze,0.03891,36.5486,0.234635
2003fa,0.04015,36.0167,0.143473
2003fa,0.04015,36.0818,0.14498
SN2016glz,0.03975,35.9918,0.210464
PS16axi,0.04056,36.1263,0.168835
SN2017coa,0.04045,36.4104,0.307187
2009do,0.04027,36.0403,0.147245
2001az,0.04059,36.3153,0.150794
2007jh,0.04023,36.5601,0.280122
1992bl,0.0428,36.2101,0.208042
2014bj,0.04239,36.5106,0.426487
2006cf,0.04223,36.2931,0.151018
2006cz,0.04251,35.9138,0.29449
2007kk,0.0413,36.2521,0.175538
2007kk,0.0413,36.2071,0.166515
AT2016htm,0.04265,36.2018,0.162522
ASASSN-16ct,0.04252,36.2457,0.207056
SN2016ayg,0.04328,36.4165,0.166064
2007nq,0.04275,36.2137,0.152187
2007nq,0.04275,36.2882,0.166626
MASTERJ0134,0.04391,36.2594,0.177777
ASASSN-15mg,0.04307,36.3298,0.181208
AT2016cvv,0.04404,36.5469,0.231201
2005ku,0.04397,36.2916,0.249078
1992bh,0.0451,36.551,0.270525
2006gt,0.04366,36.5114,0.286272
2006hx,0.04429,36.4565,0.162334
PS16cqa,0.04433,36.6866,0.304921
PSNJ1204051,0.04502,36.4541,0.196266
2005hc,0.04496,36.4634,0.173532
2005hc,0.04496,36.5139,0.151933
SN2016esh,0.04488,36.1579,0.182756
PS17tn,0.04549,36.3811,0.196005
2008050,0.04627,36.2636,0.218105
AT2016ews,0.04612,36.5394,0.159223
2005lz,0.04541,36.3247,0.195021
360156,0.04673,36.5081,0.209562
2004gu,0.0467,36.4713,0.19409
2008cf,0.04692,36.4786,0.148197
2008cf,0.04692,36.4857,0.182928
AT2017yk,0.04764,36.7582,0.280677
2016afk,0.04677,36.5642,0.229149
PS16fa,0.04734,36.6009,0.161688
PS15aii,0.04768,36.5946,0.145385
PS17akj,0.0478,36.5627,0.208806
ATLAS16agv,0.04777,36.4976,0.165873
ASASSN-15pm,0.04777,36.3735,0.154741
1995ac,0.04867,36.3303,0.135835
AT2016gmg,0.04839,36.641,0.181462
1990af,0.05018,36.5997,0.202684
PS16el,0.04896,36.4691,0.176995
2006cq,0.04928,36.5828,0.168097
1993ag,0.05019,36.6402,0.244395
PS15asb,0.04952,36.4714,0.18553
1998dx,0.0498,36.5693,0.155812
PS16dnp,0.04998,36.8583,0.163226
2007kh,0.04944,36.5403,0.453411
ASASSN-17eb,0.0497,36.4621,0.201896
PS15brr,0.05063,36.5461,0.190961
2008hu,0.05071,36.7036,0.133364
AT2016cor,0.04995,36.8523,0.302557
PS16fbb,0.05139,36.8804,0.16836
2003ic,0.05196,36.393,0.201448
ASASSN-16hc,0.05165,36.5862,0.156832
1993O,0.05148,36.7759,0.228182
2006ot,0.05232,36.8679,0.208308
2006ot,0.05232,36.5433,0.298829
AT2016htn,0.05229,36.8411,0.218249
PS16evk,0.0532,36.9144,0.207509
PS16n,0.05268,36.7752,0.161766
2010dt,0.05291,36.8474,0.172204
2006lu,0.05449,36.8631,0.133817
PS16bby,0.0543,36.8327,0.178902
PS16ayd,0.05485,36.8581,0.149593
SN2017cpu,0.05529,36.6433,0.175423
490007,0.05513,36.8676,0.194374
AT2017oz,0.05641,36.8109,0.193162
2006py,0.05658,36.9098,0.185051
PS16aer,0.05668,37.0393,0.176308
2005hj,0.05631,36.9903,0.171451
2008eq,0.0568,37.0687,0.221323
2006ob,0.0576,36.9821,0.138149
2006ob,0.0576,36.9324,0.14674
SN2016gmb,0.05708,36.9545,0.182842
